pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,player_id,season
14,IND,Scott Haskin,Oregon State,1.0,27,186,55.0,55.0,6.0,0.467,0.0,0.684,6.9,2.0,2.0,0.2,0.3,0.087,-2.8,0.0,haskisc01,1993
15,ATL,Doug Edwards,Florida State,3.0,85,838,203.0,153.0,60.0,0.378,0.0,0.709,9.9,2.4,1.8,0.7,0.2,0.013,-4.8,-0.6,edwardo01,1993
16,NJN,Rex Walters,Kansas,7.0,335,4602,1547.0,403.0,569.0,0.441,0.361,0.809,13.7,4.6,1.2,1.7,6.3,0.066,-2.0,0.0,waltere01,1993
17,CHH,Greg Graham,Indiana,5.0,207,2530,938.0,219.0,201.0,0.407,0.29,0.775,12.2,4.5,1.1,1.0,1.3,0.025,-3.8,-1.2,grahagr01,1993
18,UTA,Luther Wright,Seton Hall,1.0,15,92,19.0,10.0,0.0,0.348,0.0,0.75,6.1,1.3,0.7,0.0,-0.1,-0.064,-12.3,-0.2,wrighlu01,1993
19,BOS,Acie Earl,Iowa,4.0,193,2512,980.0,517.0,61.0,0.403,0.0,0.667,13.0,5.1,2.7,0.3,0.3,0.005,-5.9,-2.5,earlac01,1993
20,CHH,Scott Burrell,UConn,8.0,383,7592,2647.0,1332.0,527.0,0.418,0.373,0.723,19.8,6.9,3.5,1.4,16.4,0.104,0.7,5.2,burresc01,1993
21,POR,James Robinson,Alabama,7.0,381,6935,2882.0,660.0,715.0,0.394,0.348,0.666,18.2,7.6,1.7,1.9,5.8,0.04,-2.0,0.0,robinja02,1993
22,CLE,Chris Mills,Arizona,10.0,568,17282,6357.0,2808.0,1063.0,0.432,0.351,0.817,30.4,11.2,4.9,1.9,37.7,0.105,-0.5,6.8,millsch01,1993
23,SEA,Ervin Johnson,New Orleans,13.0,845,16989,3473.0,5148.0,387.0,0.505,0.2,0.605,20.1,4.1,6.1,0.5,37.8,0.107,-1.4,2.6,johnser02,1993
